sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,2500,20,8,72,3.0704102918014233,0.0,209.17001338688084,51.71851141545348,253.19
TOTAL,2500,20,8,72,3.0704102918014233,0.0,209.17001338688084,51.71851141545348,253.19
