sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SOAP/XML-RPC Request,1000,38,8,106,16.182065103070123,0.0,197.3164956590371,70.5252318468824,366.0
TOTAL,1000,38,8,106,16.182065103070123,0.0,197.3164956590371,70.5252318468824,366.0
