sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SOAP/XML-RPC Request,2500,20,9,55,2.834196069434849,0.0,208.35069589132428,74.67256385948829,367.0
TOTAL,2500,20,9,55,2.834196069434849,0.0,208.35069589132428,74.67256385948829,367.0
