sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,6000,227,7,1907,170.55707429797025,0.0,39.39437710924061,9.70201949529237,252.19
TOTAL,6000,227,7,1907,170.55707429797025,0.0,39.39437710924061,9.70201949529237,252.19
